ID_INDIVIDU,CIVILITE,SEXE,PROFESSION,CATEGORIE_PROF,DATE_CREATION_CARTE,MANAGING_STORE,AGE_2015,SENIORITY_2015,SHARE_MANAGING_STORE,NB_GIFTS,NB_STORES,NB_LINES,NB_FAMILIES,RECENCY,NB_VISITS,CUMUL_VALUE
34.0,3.0,2.0,,6.0,2007-07-27,942.0,62.0,2958.0,0.00011192776927955825,5.0,1.0,2.0,3.0,133.0,3.0,207.0
91.0,2.0,2.0,,2.0,2007-08-31,312.0,61.0,2923.0,0.0001865462821325971,1.0,1.0,2.0,8.0,52.0,4.0,405.0
99.0,2.0,2.0,,2.0,2007-10-10,312.0,45.0,2883.0,0.00011192776927955825,1.0,1.0,1.0,3.0,92.0,3.0,173.0
449.0,3.0,2.0,,14.0,2007-09-29,761.0,54.0,2894.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,197.0,1.0,66.0
557.0,3.0,2.0,,,2007-05-14,753.0,56.0,3032.0,0.00014923702570607768,2.0,1.0,2.0,3.0,174.0,4.0,208.0
1144.0,2.0,2.0,,14.0,2010-09-20,592.0,37.0,1807.0,7.461851285303884e-05,1.0,2.0,0.0,0.0,221.0,2.0,0.0
1174.0,2.0,2.0,,14.0,2010-10-17,770.0,61.0,1780.0,7.461851285303884e-05,0.0,1.0,1.0,2.0,57.0,2.0,46.0
1396.0,3.0,2.0,,,2007-12-19,920.0,42.0,2813.0,0.0004104018206917136,5.0,2.0,2.0,8.0,65.0,11.0,919.0
1433.0,3.0,2.0,,,2007-11-28,920.0,62.0,2834.0,3.730925642651942e-05,0.0,1.0,1.0,1.0,69.0,1.0,78.0
1534.0,2.0,2.0,,8.0,2008-05-08,942.0,33.0,2672.0,7.461851285303884e-05,1.0,2.0,2.0,2.0,133.0,2.0,97.0
1579.0,3.0,2.0,,6.0,2008-05-21,942.0,45.0,2659.0,7.461851285303884e-05,0.0,1.0,3.0,5.0,48.0,1.0,130.0
1611.0,3.0,2.0,,14.0,2008-05-15,942.0,53.0,2665.0,7.461851285303884e-05,1.0,2.0,1.0,2.0,90.0,2.0,69.0
1753.0,3.0,2.0,,,2008-04-07,771.0,50.0,2703.0,3.730925642651942e-05,0.0,1.0,1.0,3.0,272.0,1.0,193.0
1943.0,2.0,2.0,,,2008-05-28,381.0,48.0,2652.0,0.00011192776927955825,2.0,2.0,1.0,2.0,92.0,3.0,183.0
2096.0,2.0,2.0,,8.0,2008-04-02,942.0,32.0,2708.0,0.00026116479498563595,4.0,3.0,2.0,7.0,45.0,6.0,594.0
2110.0,3.0,2.0,,6.0,2008-04-28,470.0,54.0,2682.0,3.730925642651942e-05,1.0,1.0,1.0,3.0,30.0,1.0,105.0
2142.0,2.0,2.0,,,2008-04-21,942.0,39.0,2689.0,0.00011192776927955825,0.0,1.0,1.0,5.0,65.0,3.0,292.0
2726.0,2.0,2.0,,2.0,2008-02-18,942.0,54.0,2752.0,0.00011192776927955825,2.0,1.0,1.0,7.0,101.0,3.0,568.0
2736.0,2.0,2.0,,3.0,2008-01-16,752.0,36.0,2785.0,3.730925642651942e-05,0.0,1.0,1.0,3.0,335.0,1.0,108.0
2789.0,2.0,2.0,,,2008-01-19,942.0,15.0,2782.0,3.730925642651942e-05,1.0,1.0,1.0,2.0,206.0,1.0,106.0
2886.0,2.0,2.0,,6.0,2008-01-30,942.0,48.0,2771.0,0.0003357833078386748,1.0,1.0,3.0,10.0,65.0,9.0,686.0
2976.0,3.0,2.0,,14.0,2007-10-26,942.0,36.0,2867.0,0.0002238555385591165,7.0,1.0,3.0,6.0,165.0,6.0,320.0
3140.0,3.0,2.0,,2.0,2007-11-24,942.0,54.0,2838.0,0.00011192776927955825,2.0,1.0,2.0,7.0,232.0,3.0,433.0
3547.0,3.0,2.0,,8.0,2007-10-13,942.0,40.0,2880.0,7.461851285303884e-05,0.0,1.0,3.0,6.0,84.0,2.0,289.0
3676.0,2.0,2.0,,2.0,2007-09-24,942.0,56.0,2899.0,7.461851285303884e-05,0.0,1.0,2.0,4.0,223.0,2.0,276.0
4624.0,3.0,2.0,,3.0,2007-05-15,942.0,49.0,3031.0,3.730925642651942e-05,1.0,1.0,1.0,2.0,148.0,1.0,89.0
4857.0,3.0,2.0,,6.0,2008-05-29,941.0,43.0,2651.0,7.461851285303884e-05,2.0,1.0,1.0,2.0,231.0,2.0,124.0
5035.0,2.0,2.0,,2.0,2007-05-22,942.0,46.0,3024.0,3.730925642651942e-05,0.0,1.0,1.0,4.0,242.0,1.0,216.0
5259.0,3.0,2.0,,,2008-06-30,941.0,47.0,2619.0,7.461851285303884e-05,2.0,1.0,2.0,4.0,53.0,2.0,166.0
5296.0,2.0,2.0,,14.0,2008-06-28,771.0,37.0,2621.0,3.730925642651942e-05,0.0,1.0,1.0,1.0,61.0,1.0,74.0
5458.0,3.0,2.0,,,2008-04-19,941.0,15.0,2691.0,0.0003357833078386748,3.0,3.0,3.0,13.0,91.0,9.0,1310.0
5513.0,2.0,2.0,,,2008-06-07,941.0,34.0,2642.0,0.00011192776927955825,1.0,2.0,2.0,8.0,233.0,3.0,248.0
5602.0,3.0,2.0,,1.0,2008-06-03,941.0,52.0,2646.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,53.0,1.0,68.0
5806.0,2.0,2.0,,14.0,2008-05-21,331.0,47.0,2659.0,0.00011192776927955825,2.0,1.0,2.0,4.0,49.0,3.0,234.0
5833.0,2.0,2.0,,,2008-05-15,941.0,31.0,2665.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,191.0,1.0,43.0
5857.0,3.0,2.0,,6.0,2008-03-20,941.0,35.0,2721.0,7.461851285303884e-05,3.0,2.0,2.0,6.0,183.0,2.0,269.0
5924.0,3.0,2.0,,8.0,2008-01-15,941.0,39.0,2786.0,3.730925642651942e-05,0.0,1.0,1.0,1.0,104.0,1.0,74.0
6002.0,2.0,2.0,,,2008-04-13,941.0,15.0,2697.0,7.461851285303884e-05,1.0,1.0,1.0,2.0,35.0,2.0,56.0
6092.0,2.0,2.0,,,2008-04-26,941.0,46.0,2684.0,0.0002238555385591165,6.0,1.0,1.0,3.0,165.0,6.0,498.0
6133.0,3.0,2.0,,2.0,2008-02-23,941.0,39.0,2747.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,34.0,1.0,128.0
6195.0,3.0,2.0,,2.0,2008-02-13,941.0,36.0,2757.0,0.00029847405141215536,6.0,4.0,2.0,5.0,65.0,8.0,397.0
6301.0,2.0,2.0,,,2008-05-08,941.0,60.0,2672.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,286.0,1.0,145.0
6338.0,3.0,2.0,,3.0,2008-05-08,781.0,50.0,2672.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,343.0,1.0,104.0
6613.0,3.0,2.0,,14.0,2007-11-11,941.0,31.0,2851.0,3.730925642651942e-05,0.0,1.0,1.0,2.0,246.0,1.0,35.0
6663.0,3.0,2.0,,8.0,2007-11-14,941.0,38.0,2848.0,3.730925642651942e-05,0.0,1.0,1.0,4.0,20.0,1.0,118.0
